author,dll_author_id
"Agnes de Bohemia, s., 1211-1282",A4337
"Agnes de Bohemia, sancta",A4337
Agnes of Bohemia,A4337
Agnes von Böhmen ca. um 1211-1282,A4337
"Agnes, Princess of Bohemia",A4337
"Agnes, van Bohemen, 1211-1282",A4337
Agobard (święty ; 779-840),A4476
Agobard 779-840) (św. ;,A4476
Agobard saint 0779-0840,A4476
"Agobard, Saint",A4476
Agobardo de Lyon,A4476
Agobardus : Lugdunensis,A4476
Agobardus Lugdunensis,A4476
"Agostinho, Santo, 354-430",A5497
"Agostinho, Santo, Bispo de Hipona, 354-430.",A5497
Agostino Dati,A4038
"Agostino di Tagaste, s., vesc. d'Ippona, 354-430",A5497
Agostino Fontana,A3434
Agostino Patrizi Piccolomini,A5504
Agrestius episcopus,A3042
"Agrestius, Bischop",A3042
"Agricola, G. 1494-1555 Georgius",A3675
"Agricola, Georg",A3675
"Agricola, Georg, 1494-1555",A3675
"Agricola, Georgius",A3675
"Agricola, Georgius, 1494-1555.",A3675
"Agricola, R. ок.1443-1485 Rudolf",A4109
"Agricola, Rodolphus, 1443?-1485.",A4109
"Agricola, Rodolphus, 1443/44-1485",A4109
"Agricola, Rudolf",A4109
"Agricola, Rudolf, 1444-1485",A4109
"Agricola, Rudolf, umbes 1444-1485.",A4109
"Agripīna, Jaunākā, 15-59",A2920
"Agripina, la Menor 15-59",A2920
"Agrippa von Nettesheim, H.C. 1486-1535 Heinrich Cornelius",A4098
"Agrippa von Nettesheim, Heinrich Cornelius",A4098
"Agrippa von Nettesheim, Heinrich Cornelius, 1486?-1535",A4098
"Agrippa von Nettesheim, Heinrich Cornelius, 1487-1535.",A4098
"Agrippa, Heinrich Cornelius",A4098
"Agrippa, Henri Corneille, 1486-1535",A4098
"Agrippa, Henricus Cornelius, 1486-1535",A4098
Agrippina 15-59 die Jüngere,A2920
Agrippina 15-59 jaunesnioji,A2920
Agrippina die Jüngere 15-59,A2920
Agrippina Minor,A2920
"Agrippina Minor (Roman empress, 15-59 CE)",A2920
Agrippina Minor 15-59,A2920
Agrippina the Younger,A2920
"Agrippina, 15-59",A2920
"Agrippina, d.y., romersk kejsarinna, 15-59",A2920
"Agrippina, Julia (Agrippina the Younger)",A2920
"Agrippina, Julia romersk keiserinne",A2920
"Agrippina, Minor, 14-59",A2920
"Agrippina, mladší, císařovna, choť Claudia Tiberia Nera Germanica, římského císaře, 15-59",A2920
"Agrippina, rimska carica",A2920
"Agrippine la Jeune, 0015-0059",A2920
"Agrippine, la Jeune, 15-59",A2920
Agroecius,A4548
Agroecius Senonensis ca. 5. Jh.,A4548
"Agroecius Senonensis, činný 5. století",A4548
"Agroecius, 04..?-04.., évêque de Sens",A4548
"Agroecius, Bishop of Sens",A4548
"Agroecius, Bishop of Sens, 5th cent.",A4548
"Agroecius, Bishop of Sens, active 5th century",A4548
"Agroecius, Bisschop van Sens, fl. 450",A4548
Agrypina Młodsza (cesarzowa rzymska ; 15-59),A2920
"Aguirre, Jos©♭ Saenz de, card., 1630-1699",A3214
"Aguirre, José Sáenz de, 1630-1699",A3214
"Agustí i Albanell, Antoni, 1517-1586",A6001
"Agustín Albanell, Antonio, 1517-1586",A6001
"Agustín, Antonio",A6001
"Agustín, Antonio 1517-1584 Taragonos arkivyskupas",A6001
"Agustin, Antonio Abp. of Tarragona (1517-1586)",A6001
"Agustín, Antonio, 1517-1584",A6001
"Agustín, Antonio, 1517-1586",A6001
"Agustín, Antonio, 1517-1586.",A6001
"Agustín, Antonio, arciv. di Tarragona, 1517-1586",A6001
"Agustín, Don Antonio (Spanish ecclesiastic and antiquarian, 1517-1586)",A6001
"Agustín, Santo, Obispo de Hipona",A5497
"Ágústínus, Árelíus, kirkjufaðir, 354-430",A5497
"Ágústus, keisari Rómaveldis, 63 f.Kr.-14 e.Kr.",A5195
"Ahlberg, A. W.",A6295
"Ahlberg, Axel W.",A6295
"Ahlberg, Axel W., 1874-1951",A6295
"Ahlberg, Axel Wilhelm",A6295
"Ahlberg, Axel Wilhelm, 1874-1951",A6295
Aichardus av Saint Victor,A4190
"Aiguilhe, Raymond d', činný 11. století",A4914
Ailerán,A5447
Ailerán,A5447
Ailerán -665,A5447
"Ailerán scholar, saint",A5447
"Ailerán, -664 or 665",A5447
