URL,Name,Variants,Latin
https://viaf.org/viaf/66856143/,Evenus Atheniensis,"Evenus Atheniensis 1. Jh. v. Chr, Evenus Atheniensis v1. Jh., Εὔηνος",0
https://viaf.org/viaf/66856158/,"Evodus, Epigrammaticus, 2./3. Jh. n. Chr.","Εὔοδος, Evodus Epigrammaticus 2./3. Jh. n. Chr, Evodus 2./3. Jh Epigrammaticus, Evodus Epigrammaticus 2./3. Jh.",0
https://viaf.org/viaf/66856170/,Glaucus Rheginus um 400 v. Chr,"Glauc de Rhègion, Glaucus Rheginus um 400 v. Chr, Glaukos of Rhegion, Glaucus Rheginus v400",0
https://viaf.org/viaf/66856297/,"Nico, Comicus ca. 4. Jh. v. Chr.","Nico Comicus ca. 4.Jh.v.Chr., Nicó poeta",0
https://viaf.org/viaf/66856307/,"Pamphilus, Alexandrinus 2. Jh. v. Chr.",Pamphilus Alexandrinus v2. Jh.,0
https://viaf.org/viaf/66856330/,"Philippides, Comicus, 4./3. Jh. v. Chr.","Filípides d'Atenes, Philippides Comicus v4./3. Jh.",0
https://viaf.org/viaf/66856348,"Philistus, Naucratites, ca. v4. Jh",Philistus Naucratites ca. v4. Jh.,0
https://viaf.org/viaf/66856353,"Philocrates, Historicus, v4. Jh","Φιλοκράτης, Philocrates Historicus",0
https://viaf.org/viaf/66856376/,"Phormis, Comicus, 5. Jh. v. Chr","Formis, Phormis Comicus v5. Jh.",0
https://viaf.org/viaf/66856395/,"Pythermus, Ephesius, v3./2. Jh","Pythermus Ephesius v3./2. Jh., Πύθερμος",0
https://viaf.org/viaf/66856416/,"Seleucus, Emesenus, 3/4 Jh. n. Chr.","Σέλευκος, Seleucus Emesenus 3./4. Jh. n. Chr, Seleucus Emesenus 3./4. Jh.",0
https://viaf.org/viaf/66856428/,"Simylus, Elegiacus, 1. Jh. n. Chr","Simylus Elegiacus 1. Jh. n. Chr, Símil poeta, Simylus Elegiacus 1. Jh.",0
https://viaf.org/viaf/671145857903523021068/,"Severus, Sophista, ca. 4. Jh. n. Chr.",Severus Sophista ca. 4. Jh. n. Chr.,0
https://viaf.org/viaf/67264121,"John of Antioch, 7th cent.","Johannes Antiochenus, Chronista, Ιωάννης της Αντιόχειας, Jean d'Antioche, 06..-06.., prêtre, Joannes Antiochenus., Joannes Antiochenus 7. årh., John, of Antioch, active 7th century, Johannes, Antiochenus, 7ème siècle, Johannes Antiochenus, 600-talet, Johannes, Antiochenus, Iohannes Antiochenus, sec. VII, Ioannes : Antiochenus",0
https://viaf.org/viaf/67270092/,"Marcellus, Historicus, ","Marcellus Historicus, مارسيلوس",0
https://viaf.org/viaf/67275149,"Thallus, Historicus, ca. 1./2. Jh","تالوس مؤرخ يوناني, Thallus Historicus ca. 1./2. Jh.",0
https://viaf.org/viaf/67276145/,"Petrus, of Thessalonica, 6th cent.","Petrus, of Thessalonica, active 6th century",0
https://viaf.org/viaf/67762941/,"Kleopatra VII, Ägypten, Königin, v69-v30","Kleopatra VII. Ägypten, Königin v69-v30, Cleopatra, Queen of Egypt, -30 B.C., Κλεοπάτρα Φιλοπάτωρ, Kleopatra dronning av Egypt 69-30 f.Kr., Cléopâtre VII 0069-0030 av. J.-C. reine d'Égypte, Cleopatra VII, Reina de Egipto, Cleòpatra, reina d'Egipte, 69 aC-30 aC, Cleopatra VII Philopator, 69-30 v. Chr., Cléopâtre, reine d'Égypte, -30 av. J.-C., Kleopatra, egyptisk drottning, 69-30 f.Kr., كليوباترا، ملكة مصر، 69-30 ق.م., Kleópatra, Egyptalandsdrottning, 69-30 f.Kr., Cleópatra, Rainha do Egito, m. 30 a.C., Kleopatra VII., egyptská panovnice, 69 př. Kr.-30 př. Kr., Cleopatra, 69-30B.C., エジプト女王, كليوباترة، ملكة مصر, קלאופטרה, מלכת מצרים, Cleopatra VII Queen of Egypt B.C. 69-B.C. 30, Kleopatra, Ēģiptes karaliene, 69-30 p.m.ē., Cleopatra, Queen of Egypt, d. 30 B.C., Cleopatra VII, egipatska kraljica, Cleopatra VII Philopator, Queen of Egypt, Cleopatra (Egyptian monarch, -30 BCE)",0
https://viaf.org/viaf/68974968/,Sallustius,"Sallustius, Salluste le philosophe, 030.?-037.?, Sallustius serenus neoplatonicus, Sallustius, Philosophus, Sallustius Secundus, Saturninus, Sallustius Philosophus ca. 4. Jh., Sallustius, Saturninus., Salustios, činný 4. století, Sallustius Philosophus, 300-talet, Salustio ca. 370-415",0
https://viaf.org/viaf/68976194/,Lycophron,"Lycophron., Lycophron 0320?-02.. av. J.-C., Lícofron, Lykofron, f. ca 320 f.Kr., Λυκόφρων, Likofron (ok. 300-ok. 250 p.n.e.)",0
https://viaf.org/viaf/69016459/,Speusippus,"Speusippus v408-v339 Atheniensis, Speusippus, Speusippus Atheniensis v408-v339, Speusippus, Atheniensis, 410/07-339 v. Chr.",0
https://viaf.org/viaf/69031816/,Eratosthenes,"Eratosthenes, Eratóstenes., Ἐρατοσθένης ὁ Κυρηναῖος, Ératosthène 0284?-0192? av. J.-C., Eratòstenes, aproximadament 275 aC-aproximadament 194 aC, Eratostenes z Cyreny (ok. 275-194 p.n.e.), Eratosthenés z Kyrény, asi 275 př. Kr.-195 př. Kr.",0
